Task,Description,episode,contestant,score,series
1,"Prize: Best thing you can carry, but only just.",Episode 1: It's not your fault. (18 March 2021),Charlotte Ritchie,1,11
1,"Prize: Best thing you can carry, but only just.",Episode 1: It's not your fault. (18 March 2021),Jamali Maddix,2,11
1,"Prize: Best thing you can carry, but only just.",Episode 1: It's not your fault. (18 March 2021),Lee Mack,4,11
1,"Prize: Best thing you can carry, but only just.",Episode 1: It's not your fault. (18 March 2021),Mike Wozniak,5,11
1,"Prize: Best thing you can carry, but only just.",Episode 1: It's not your fault. (18 March 2021),Sarah Kendall,3,11
2,Do the most impressive thing under the table with one hand. You must be looking at the camera and waving with your other hand throughout your impressive thing.,Episode 1: It's not your fault. (18 March 2021),Charlotte Ritchie,2,11
2,Do the most impressive thing under the table with one hand. You must be looking at the camera and waving with your other hand throughout your impressive thing.,Episode 1: It's not your fault. (18 March 2021),Jamali Maddix,3[1],11
2,Do the most impressive thing under the table with one hand. You must be looking at the camera and waving with your other hand throughout your impressive thing.,Episode 1: It's not your fault. (18 March 2021),Lee Mack,3,11
2,Do the most impressive thing under the table with one hand. You must be looking at the camera and waving with your other hand throughout your impressive thing.,Episode 1: It's not your fault. (18 March 2021),Mike Wozniak,5,11
2,Do the most impressive thing under the table with one hand. You must be looking at the camera and waving with your other hand throughout your impressive thing.,Episode 1: It's not your fault. (18 March 2021),Sarah Kendall,4,11
3,Catch the rat. You must be at least three metres from the rat when you catch it. The rat will run across the red green in 30 minutes.,Episode 1: It's not your fault. (18 March 2021),Charlotte Ritchie,DQ,11
3,Catch the rat. You must be at least three metres from the rat when you catch it. The rat will run across the red green in 30 minutes.,Episode 1: It's not your fault. (18 March 2021),Jamali Maddix,1,11
3,Catch the rat. You must be at least three metres from the rat when you catch it. The rat will run across the red green in 30 minutes.,Episode 1: It's not your fault. (18 March 2021),Lee Mack,5,11
3,Catch the rat. You must be at least three metres from the rat when you catch it. The rat will run across the red green in 30 minutes.,Episode 1: It's not your fault. (18 March 2021),Mike Wozniak,3[2],11
3,Catch the rat. You must be at least three metres from the rat when you catch it. The rat will run across the red green in 30 minutes.,Episode 1: It's not your fault. (18 March 2021),Sarah Kendall,3[2],11
4,"Deliver all the plates to Alex. When carrying the plates you must be traveling by scooter, or bicycle or hoverboard. For every plate fallen or broken you have 20 minutes added to your time.",Episode 1: It's not your fault. (18 March 2021),Charlotte Ritchie,2,11
4,"Deliver all the plates to Alex. When carrying the plates you must be traveling by scooter, or bicycle or hoverboard. For every plate fallen or broken you have 20 minutes added to your time.",Episode 1: It's not your fault. (18 March 2021),Jamali Maddix,1,11
4,"Deliver all the plates to Alex. When carrying the plates you must be traveling by scooter, or bicycle or hoverboard. For every plate fallen or broken you have 20 minutes added to your time.",Episode 1: It's not your fault. (18 March 2021),Lee Mack,5,11
4,"Deliver all the plates to Alex. When carrying the plates you must be traveling by scooter, or bicycle or hoverboard. For every plate fallen or broken you have 20 minutes added to your time.",Episode 1: It's not your fault. (18 March 2021),Mike Wozniak,3[2],11
