student_id,hw_1,hw_2,hw_3,hw_4,hw_5,hw_6,hw_7,hw_8,midterm_1,midterm_2,final_exam,project
80114,8,8,6,5,6,6,9,7,59,62,69,61
83881,3,6,5,1,6,6,3,5,57,54,46,48
43734,5,8,7,9,7,8,5,6,70,62,63,77
95007,4,4,7,5,4,5,6,6,58,48,45,50
68308,10,NA,10,8,10,9,8,8,88,93,91,87
73638,8,NA,9,6,9,8,8,5,89,84,76,86
77043,6,5,7,5,7,4,3,4,58,63,57,59
38103,8,8,6,7,6,9,8,10,76,69,65,73
96355,7,3,6,NA,5,6,6,7,61,53,64,60
10447,9,10,10,10,9,8,10,10,93,87,90,93
69117,3,2,7,4,4,5,5,5,47,41,39,42
35942,7,9,8,7,9,9,9,10,78,83,83,76
24402,4,7,5,5,9,7,7,6,65,55,51,65
65355,7,8,5,9,5,5,6,8,70,71,71,74
56037,9,3,8,6,7,3,9,7,57,57,62,55
12541,4,6,NA,7,6,8,6,6,69,61,70,64
93994,5,6,7,9,9,8,5,6,77,73,80,76
87048,9,7,9,8,9,9,10,9,88,95,85,91
70364,10,8,10,10,8,8,10,9,96,97,92,92
47421,NA,8,6,10,8,7,7,6,86,87,82,89
32903,8,9,9,8,NA,10,9,10,95,89,92,90
99743,6,8,9,7,6,8,6,6,69,61,65,62
89799,7,7,8,9,7,7,6,6,60,71,68,80
29127,6,2,6,8,4,5,6,3,54,49,49,49
86141,4,4,4,6,3,7,7,7,68,62,66,63
79148,5,6,7,7,6,5,6,9,65,54,59,56
96741,NA,9,10,10,10,8,9,9,95,89,93,91
47027,8,9,8,9,9,NA,9,8,78,79,84,83
21101,3,5,2,3,5,4,6,6,53,45,48,45
60589,9,8,9,8,9,10,9,8,88,94,83,87
68672,7,7,6,7,6,4,6,4,60,65,56,61
