student_id,hw_1,hw_2,hw_3,hw_4,hw_5,midterm_1,midterm_2,final_exam,project
17884,9,8,9,9,9,90,92,91,91
93026,4,8,6,5,7,65,62,60,66
90207,10,10,10,10,10,96,94,96,95
87869,9,9,8,9,9,91,90,92,89
64739,8,8,9,9,8,90,87,86,90
73771,9,10,10,8,8,97,93,95,92
71942,9,10,9,10,7,95,94,96,94
64797,7,9,9,10,8,86,85,86,83
51911,8,10,10,9,9,90,93,92,91
96630,9,9,10,10,10,92,91,92,95
29748,8,9,10,9,8,84,88,83,87
64511,NA,9,9,9,8,79,91,83,83
58100,10,10,9,8,10,95,95,97,93
36126,8,7,6,6,8,76,68,74,67
21054,8,10,8,10,10,86,97,95,94
15938,7,9,8,7,8,86,88,91,81
90564,10,10,8,10,10,86,89,91,89
33786,10,10,10,10,10,99,98,96,98
30866,9,8,9,9,8,81,82,75,84
18913,10,9,9,10,10,92,87,94,89
17409,9,7,8,9,8,90,83,85,80
25356,8,10,10,10,9,94,93,96,94
88842,10,8,9,9,8,85,92,91,96
98180,8,9,10,8,9,90,94,96,89
17572,10,10,10,10,9,97,97,99,99
64051,10,10,9,6,10,94,82,89,86
38854,10,9,9,10,8,93,93,88,91
92050,9,7,9,10,NA,99,98,95,94
77096,10,10,10,9,9,97,95,96,90
73054,10,10,10,10,10,100,100,100,99
