student_id,hw_1,hw_2,hw_3,hw_4,hw_5,hw_6,midterm_1,midterm_2,final_exam,project
82536,7,10,9,8,7,9,77,82,90,85
31590,8,10,7,9,9,9,92,94,94,87
99065,8,8,7,7,6,9,81,79,70,77
20205,7,6,6,8,8,5,74,70,64,75
40664,10,10,10,9,9,8,88,91,82,82
63926,9,9,7,9,9,9,88,88,91,91
62234,10,7,8,7,7,9,78,86,88,81
78861,8,NA,7,6,7,8,65,67,62,68
97865,6,9,8,10,9,7,87,84,86,80
17798,8,9,9,10,10,7,89,96,90,89
70949,7,10,9,9,7,8,74,84,81,81
11100,10,8,8,9,NA,10,97,96,97,95
40713,10,9,7,7,8,9,79,74,68,80
51757,9,9,10,10,10,9,88,95,94,91
20355,10,7,6,NA,8,8,75,77,74,75
55138,NA,9,10,9,10,8,94,91,89,96
95824,9,9,NA,9,9,8,95,96,95,91
19260,10,9,10,10,10,10,96,95,94,97
81436,10,10,10,10,10,NA,100,98,98,100
16794,9,10,9,9,10,8,91,95,93,94
82976,7,7,8,8,6,6,70,86,77,81
16826,7,10,7,8,9,9,84,92,84,92
95394,9,10,NA,10,9,7,98,99,99,99
95449,10,9,10,9,10,10,93,97,99,97
62856,NA,10,9,10,10,10,94,99,96,97
57019,8,8,8,7,6,8,75,72,77,76
73425,10,8,9,9,9,10,95,90,92,89
93955,10,10,10,10,9,NA,96,97,98,98
11791,9,9,8,9,10,9,85,85,81,79
64727,9,8,9,9,9,10,89,92,87,90
22997,5,8,8,9,NA,9,82,78,78,85
74650,10,9,10,9,9,8,93,97,93,97
48007,10,10,9,8,10,9,89,85,92,93
