student_id,hw_1,hw_2,hw_3,hw_4,hw_5,hw_6,hw_7,midterm_1,midterm_2,final_exam,project
79327,8,NA,9,8,8,9,8,80,84,85,81
57006,8,9,8,9,10,9,10,92,97,93,91
88610,NA,7,8,10,7,9,9,84,88,87,81
48375,10,9,8,9,9,8,8,87,87,91,80
41095,9,9,NA,8,7,9,10,82,88,88,92
78782,10,8,NA,9,9,10,10,96,96,93,98
71571,10,8,10,10,10,NA,10,97,98,98,99
78101,10,10,10,9,10,10,10,98,99,100,99
42548,9,10,8,10,10,10,8,93,95,99,91
15153,9,8,9,10,10,9,9,94,89,84,88
49650,9,8,7,6,7,6,5,72,68,77,73
64655,10,10,10,10,10,10,10,100,99,100,99
48215,8,9,7,7,7,8,9,79,73,76,73
38174,5,7,7,6,8,7,6,70,72,73,77
14965,6,8,8,6,8,8,7,79,78,73,71
87934,10,8,8,9,8,10,9,88,91,92,89
71233,9,9,8,7,8,5,9,86,80,81,79
58343,9,9,9,9,9,9,9,89,91,92,91
47121,10,9,9,10,9,9,10,92,86,92,96
92234,9,8,9,10,8,7,8,85,83,85,83
64919,9,10,10,9,10,9,10,95,98,96,98
51035,10,9,9,10,NA,10,9,83,84,84,85
59772,10,9,10,10,10,NA,10,96,95,91,98
46326,9,8,9,9,6,8,7,77,74,82,75
31001,7,6,8,8,7,9,8,81,76,72,74
92745,8,7,10,8,8,7,9,75,80,84,79
