student_id,hw_1,hw_2,hw_3,hw_4,hw_5,hw_6,hw_7,hw_8,hw_9,midterm_1,midterm_2,final_exam,project
72264,5,8,4,7,6,9,7,10,5,76,80,76,77
22491,9,7,7,9,6,7,4,8,7,81,79,75,76
30487,3,3,2,8,2,2,6,4,7,35,35,36,26
66566,9,8,8,7,5,7,4,6,7,69,66,70,71
91578,NA,8,6,7,5,9,5,8,8,78,73,76,74
90665,7,7,8,7,6,5,7,8,8,70,70,71,71
82746,7,3,7,7,8,7,4,7,6,51,66,60,61
35886,9,10,10,9,8,10,9,10,7,89,84,89,92
33851,4,1,2,4,4,0,6,2,2,34,32,29,27
26992,10,10,10,9,10,8,8,8,8,86,87,83,88
50769,8,10,10,5,NA,9,7,9,10,83,82,83,86
79810,7,9,10,8,10,8,9,9,8,87,82,88,97
27032,10,9,9,9,10,8,6,8,9,83,82,77,79
86430,7,5,5,9,9,8,9,8,9,68,63,65,70
23673,2,2,0,4,4,1,2,2,3,28,24,17,23
23098,8,5,3,5,7,3,5,4,7,50,39,50,58
33266,NA,10,8,7,9,8,8,8,9,83,83,78,81
55662,8,10,10,9,9,9,10,10,9,91,96,92,92
97771,5,3,4,4,2,6,6,6,7,53,48,58,54
20448,10,7,7,10,9,10,9,9,10,93,87,94,91
69865,9,7,8,8,9,7,6,8,8,80,83,83,87
20670,7,8,7,10,6,8,7,5,6,71,70,69,65
52378,10,10,9,10,10,10,9,10,10,95,94,95,98
70060,5,6,6,8,8,5,6,6,9,72,70,62,79
15365,8,8,7,8,8,8,9,8,7,82,77,88,77
84675,5,6,8,5,6,4,5,7,5,48,54,53,54
